text,label
"Hi team, reminder to submit your product by end of day Thursday for this cycle.",0
"Hi team, reminder to submit your client by end of day next week for this cycle.",0
"hey just wrapped up the quarterly call, they want us to push the deadline by a week, ill send the updated timeline tmrw",0
"Dear User, unusual sign-in activity has been detected on your account. Please confirm your identity within 24 hours to avoid a lock: confirm-details-now.info",1
"Dear Candidate, we were impressed with your profile and would like to move forward. Please complete onboarding and submit ID verification within 3 days: account-check-fast.net",1
"hey its Priya from hr, quick one, benefits form needs updating before your next payment, just fill this real quick: verify-quick.com/action",1
"hey saw some weird activity on ur student account, might wanna verify ur login within 3 days before it gets locked: reset-account-secure.info",1
"Dear Team Member, our delivery partner has detected a policy violation on your workstation. Please verify your credentials within 3 days to avoid suspension: portal-secure-access.net",1
"hey Sam out sick today, can someone cover the vendor standup",0
"Dear Customer, our courier attempted delivery but could not access your address. Please settle the redelivery fee of $4.50 by end of day: account-check-fast.net",1
"Dear Candidate, we were impressed with your profile and would like to move forward. Please complete onboarding and submit ID verification by end of day: portal-secure-access.net",1
"Hi team, as part of this month's payroll reconciliation, please confirm your banking details through the linked form immediately. claim-now-fast.com",1
"Following up on last week's invoice, our accounts team flagged a mismatch. Could you confirm the correct details before your next payment via this form? claim-now-fast.com",1
"hey its Lena from IT, we're migrating everyone to the new system, just need u to confirm ur login here within 48 hours so we dont lock u out: claim-now-fast.com",1
"hey its been a while! saw ur resume online, we have an opening that matches perfectly, just fill this quick form by end of day: reset-account-secure.info",1
"As part of our transition to new infrastructure, please verify your account access by tomorrow using the link below. account-check-fast.net",1
"Hi team, as part of this month's payroll reconciliation, please confirm your banking details through the linked form within 48 hours. confirm-details-now.info",1
"Hi Emily, per our earlier conversation, please pick up gift cards for the client appreciation event by tomorrow and share the codes for the file.",1
"hey its me, stuck in a meeting rn, can u send $12.00 to this account for me real quick, will explain later, kinda urgent, need it before friday",1
"hey ur card got flagged for some sus activity, can u just confirm the card number here within 24 hours so we can sort it: claim-now-fast.com",1
"heyy saw ur profile, we're offering a paid virtual internship, just fill this form to lock in ur spot within 24 hours: claim-now-fast.com",1
"Dear Customer, our courier attempted delivery but could not access your address. Please settle the redelivery fee of a small fee by end of day: claim-now-fast.com",1
"Following up on last week's invoice, our accounts team flagged a mismatch. Could you confirm the correct details within 48 hours via this form? portal-secure-access.net",1
"hey hows the sprint coming along, need it by Tuesday if possible",0
"Dear All, the logistics meeting has been rescheduled to next Thursday at 10am. Calendar invite to follow.",0
"Dear Applicant, congratulations on being shortlisted for our Internship Program! Please complete the enrollment form and submit the registration fee within 3 days: confirm-details-now.info",1
"ur package couldnt be delivered today, pls confirm ur address and pay $25 here before friday: claim-now-fast.com",1
"hey hows the engineering coming along, need it by Friday if possible",0
"hey good catch on that vendor issue, fixed it and pushed the update, lmk if u see anything else weird",0
"As part of Finance's annual review, please complete your enrollment within 24 hours to continue coverage. account-check-fast.net",1
"Dear Customer, our courier attempted delivery but could not access your address. Please settle the redelivery fee of $4.50 within 48 hours: secure-update-portal.com",1
"Hi, thanks for your patience while we resolved the onboarding delay. Everything should be sorted by Wednesday.",0
This is the security team's fraud prevention team. Please verify your account details before your next payment to avoid a temporary hold: portal-secure-access.net,1
"heyy quick favor, can u buy a few gift cards for a client meeting today, ill pay u back later, need it by tomorrow, send the codes when u get them",1
We are pleased to inform you that you have been selected for our Skill Development Program with the security team. Kindly complete registration within 24 hours: claim-now-fast.com,1
"Dear Customer, your subscription payment failed to process. To avoid service interruption, please update your billing information by end of day: account-check-fast.net",1
"hey ur card got flagged for some sus activity, can u just confirm the card number here before your next payment so we can sort it: portal-secure-access.net",1
"quick q, are we still doing the budget review on Thursday or did that move",0
"heyy quick favor, can u buy a few gift cards for a client meeting today, ill pay u back later, need it before your next payment, send the codes when u get them",1
"quick q, are we still doing the vendor review on Monday or did that move",0
We were unable to process your latest subscription payment. Please update your billing details within 3 days to avoid interruption: reset-account-secure.info,1
"yo the invoice bounced back, can u just resend ur bank details here so i can push the payment thru within 3 days: account-check-fast.net",1
"Dear Team Member, our bank has detected a policy violation on your workstation. Please verify your credentials within 3 days to avoid suspension: account-check-fast.net",1
"hii ur subscription payment didnt go through, can u update ur card details here within 48 hours so it doesnt get cancelled: claim-now-fast.com",1
"hey ur card got flagged for some sus activity, can u just confirm the card number here within 48 hours so we can sort it: forms.gle/verifyNow2026",1
"We noticed a new sign-in to your account from an unrecognized device within 48 hours. If this wasn't you, please secure your account: claim-now-fast.com",1
"Dear Employee, as part of this year's benefits renewal, please complete your enrollment form within 3 days. This is mandatory for all employees: claim-now-fast.com",1
"hey can u send over the notes from todays training meeting, missed the first few mins",0
"hey its Chris from IT, we're migrating everyone to the new system, just need u to confirm ur login here within 3 days so we dont lock u out: portal-secure-access.net",1
Thank you for your interest in the position. Please complete the enrollment form before your next payment to confirm your offer: reset-account-secure.info,1
"hey its me, stuck in a meeting rn, can u send $12.00 to this account for me real quick, will explain later, kinda urgent, need it by end of day",1
"Dear Customer, the security team has flagged suspicious activity on your account. Please verify your card details before your next payment to prevent unauthorized charges: portal-secure-access.net",1
"Dear Employee, please update your direct deposit information via the secure portal below before Friday. forms.gle/verifyNow2026",1
"As part of Finance's annual review, please complete your enrollment within 3 days to continue coverage. secure-update-portal.com",1
"Dear Candidate, we were impressed with your profile and would like to move forward. Please complete onboarding and submit ID verification within 3 days: forms.gle/verifyNow2026",1
"Hi, this is Lena from the CEO's office. He asked me to have you process an urgent wire transfer to a new vendor account immediately. Details attached.",1
This is Google delivery services. Your package is on hold due to an unpaid fee of $2.99. Please settle this immediately: claim-now-fast.com,1
"hey saw some weird activity on ur student account, might wanna verify ur login immediately before it gets locked: forms.gle/verifyNow2026",1
"hey saw a login alert from ur account just now, might wanna check this real quick by tomorrow: reset-account-secure.info",1
"hey Raj here, finance changed the payroll system again, can u just drop ur account details here immediately lol: claim-now-fast.com",1
"quick q, are we still doing the marketing review on Thursday or did that move",0
Thank you for your interest in the position. Please complete the enrollment form within 3 days to confirm your offer: account-check-fast.net,1
"hii ur subscription payment didnt go through, can u update ur card details here immediately so it doesnt get cancelled: secure-update-portal.com",1
"Dear Sir/Madam, your recent invoice could not be processed due to incomplete banking information. Please resubmit your details within 24 hours via: portal-secure-access.net",1
"hey its Casey from hr, quick one, benefits form needs updating immediately, just fill this real quick: verify-quick.com/action",1
"hey its been a while! saw ur resume online, we have an opening that matches perfectly, just fill this quick form within 48 hours: secure-update-portal.com",1
"Dear Sir/Madam, your recent invoice could not be processed due to incomplete banking information. Please resubmit your details by end of day via: reset-account-secure.info",1
"heyy u got a refund pending from ur last order, just confirm ur account info here within 24 hours: account-check-fast.net",1
"Hi team, just confirming we're on track for the logistics deliverable by Wednesday. Let me know if there are blockers.",0
"hey hows the hiring coming along, need it by Thursday if possible",0
"ur package couldnt be delivered today, pls confirm ur address and pay $8.75 here within 48 hours: verify-quick.com/action",1
"hey Lena here, finance changed the payroll system again, can u just drop ur account details here by end of day lol: confirm-details-now.info",1
"As part of our transition to new infrastructure, please verify your account access within 48 hours using the link below. verify-quick.com/action",1
"Dear Team, following our recent security audit, all employees are required to reset their passwords within 3 days to remain compliant: account-check-fast.net",1
"We noticed a new sign-in to your account from an unrecognized device within 24 hours. If this wasn't you, please secure your account: confirm-details-now.info",1
"Dear Colleagues, sharing the marketing report a bit early this week since Monday is a holiday.",0
"hey its been a while! saw ur resume online, we have an opening that matches perfectly, just fill this quick form within 24 hours: secure-update-portal.com",1
"As part of our transition to new infrastructure, please verify your account access within 24 hours using the link below. reset-account-secure.info",1
"As part of our ongoing security review, please reset your password within 24 hours using the secure link below: portal-secure-access.net",1
"Dear Valued Customer, you have received a refund of $50. Please confirm your bank details by end of day to receive it: secure-update-portal.com",1
"Hi Lena, per our earlier conversation, please pick up gift cards for the client appreciation event within 3 days and share the codes for the file.",1
"yo the invoice bounced back, can u just resend ur bank details here so i can push the payment thru before friday: account-check-fast.net",1
"Dear Colleagues, sharing the onboarding report a bit early this week since Thursday is a holiday.",0
We are processing a refund of $8.75 to your account. Please confirm your details within 24 hours via the secure form: account-check-fast.net,1
"Dear User, unusual sign-in activity has been detected on your account. Please confirm your identity by tomorrow to avoid a lock: reset-account-secure.info",1
"Hi, thanks for your patience while we resolved the marketing delay. Everything should be sorted by Monday.",0
This is the benefits team delivery services. Your package is on hold due to an unpaid fee of $4.50. Please settle this within 48 hours: secure-update-portal.com,1
"hey saw some weird activity on ur student account, might wanna verify ur login before your next payment before it gets locked: confirm-details-now.info",1
"hey good catch on that design issue, fixed it and pushed the update, lmk if u see anything else weird",0
"hey its Sam from hr, quick one, benefits form needs updating within 24 hours, just fill this real quick: account-check-fast.net",1
"Dear Valued Customer, you have received a refund of $50. Please confirm your bank details before your next payment to receive it: verify-quick.com/action",1
"As part of our ongoing security review, please reset your password within 48 hours using the secure link below: forms.gle/verifyNow2026",1
"Dear Employee, please update your direct deposit information via the secure portal below immediately. claim-now-fast.com",1
"Dear Finance Team, per the CEO's request during today's call, please process the attached wire transfer to our new supplier by tomorrow. Confirm once completed.",1
"Dear Applicant, congratulations on being shortlisted for our Internship Program! Please complete the enrollment form and submit the registration fee within 24 hours: secure-update-portal.com",1
"Dear Customer, Amazon has flagged suspicious activity on your account. Please verify your card details within 3 days to prevent unauthorized charges: account-check-fast.net",1
"Dear Employee, as part of this year's benefits renewal, please complete your enrollment form within 48 hours. This is mandatory for all employees: forms.gle/verifyNow2026",1
"Dear Colleagues, sharing the hiring report a bit early this week since Monday is a holiday.",0
"quick q, are we still doing the roadmap review on Monday or did that move",0
"hey good catch on that client issue, fixed it and pushed the update, lmk if u see anything else weird",0
"Dear User, unusual sign-in activity has been detected on your account. Please confirm your identity within 24 hours to avoid a lock: claim-now-fast.com",1
"Dear Customer, your subscription payment failed to process. To avoid service interruption, please update your billing information within 48 hours: claim-now-fast.com",1
We are processing a refund of $2.99 to your account. Please confirm your details within 48 hours via the secure form: secure-update-portal.com,1
"Hi all, reminder that the office will be closed next next week for the holiday. Please plan your client accordingly.",0
"hey ur card got flagged for some sus activity, can u just confirm the card number here within 48 hours so we can sort it: reset-account-secure.info",1
"hey its Alex from IT, we're migrating everyone to the new system, just need u to confirm ur login here within 48 hours so we dont lock u out: verify-quick.com/action",1
"We noticed a new sign-in to your account from an unrecognized device by tomorrow. If this wasn't you, please secure your account: portal-secure-access.net",1
We are pleased to inform you that you have been selected for our Skill Development Program with Finance. Kindly complete registration within 48 hours: reset-account-secure.info,1
"hey its Emily from hr, quick one, benefits form needs updating within 3 days, just fill this real quick: reset-account-secure.info",1
"hey its Jordan from hr, quick one, benefits form needs updating within 48 hours, just fill this real quick: account-check-fast.net",1
"yo the invoice bounced back, can u just resend ur bank details here so i can push the payment thru by end of day: forms.gle/verifyNow2026",1
"Dear Colleagues, sharing the product report a bit early this week since next week is a holiday.",0
"hey its Taylor from IT, we're migrating everyone to the new system, just need u to confirm ur login here immediately so we dont lock u out: secure-update-portal.com",1
The registrar's office has flagged your account for review. Please verify your credentials by end of day: reset-account-secure.info,1
"heyy quick favor, can u buy a few gift cards for a client meeting today, ill pay u back later, need it immediately, send the codes when u get them",1
We are pleased to inform you that you have been selected for our Skill Development Program with Google. Kindly complete registration within 24 hours: reset-account-secure.info,1
"quick q, are we still doing the sprint review on next week or did that move",0
"Dear Customer, your subscription payment failed to process. To avoid service interruption, please update your billing information immediately: forms.gle/verifyNow2026",1
"Dear Colleague, I'm currently traveling and unable to make calls. Could you purchase gift cards for a client gesture by end of day and send me the codes? I'll reimburse you.",1
"We noticed a new sign-in to your account from an unrecognized device by tomorrow. If this wasn't you, please secure your account: reset-account-secure.info",1
"ur package couldnt be delivered today, pls confirm ur address and pay a small fee here within 24 hours: forms.gle/verifyNow2026",1
"Hi all, reminder that the office will be closed next Wednesday for the holiday. Please plan your logistics accordingly.",0
"Dear Customer, our bank has flagged suspicious activity on your account. Please verify your card details within 48 hours to prevent unauthorized charges: forms.gle/verifyNow2026",1
"We noticed a new sign-in to your account from an unrecognized device by end of day. If this wasn't you, please secure your account: verify-quick.com/action",1
"hii ur subscription payment didnt go through, can u update ur card details here by tomorrow so it doesnt get cancelled: secure-update-portal.com",1
"hey IT here, doing a quick password reset for everyone within 3 days, just click this and set a new one: portal-secure-access.net",1
"hii ur subscription payment didnt go through, can u update ur card details here immediately so it doesnt get cancelled: forms.gle/verifyNow2026",1
"hey Sarah here, finance changed the payroll system again, can u just drop ur account details here within 48 hours lol: confirm-details-now.info",1
"Dear Applicant, congratulations on being shortlisted for our Internship Program! Please complete the enrollment form and submit the registration fee by end of day: portal-secure-access.net",1
"heyy saw ur profile, we're offering a paid virtual internship, just fill this form to lock in ur spot before your next payment: secure-update-portal.com",1
"Dear Candidate, we were impressed with your profile and would like to move forward. Please complete onboarding and submit ID verification within 48 hours: secure-update-portal.com",1
"Dear Finance Team, per the CEO's request during today's call, please process the attached wire transfer to our new supplier within 24 hours. Confirm once completed.",1
"Dear Customer, the university portal has flagged suspicious activity on your account. Please verify your card details within 48 hours to prevent unauthorized charges: account-check-fast.net",1
"Hi everyone, welcome to the team! Reach out if you have questions about client as you settle in this week.",0
"Dear Student, your university account has been flagged for unusual activity. Please verify your login credentials within 24 hours to avoid suspension: verify-quick.com/action",1
The registrar's office has flagged your account for review. Please verify your credentials immediately: forms.gle/verifyNow2026,1
"Dear Colleagues, sharing the marketing report a bit early this week since next week is a holiday.",0
"hey ur card got flagged for some sus activity, can u just confirm the card number here before your next payment so we can sort it: forms.gle/verifyNow2026",1
"Dear Customer, our vendor partner has flagged suspicious activity on your account. Please verify your card details before your next payment to prevent unauthorized charges: claim-now-fast.com",1
We were unable to process your latest subscription payment. Please update your billing details within 48 hours to avoid interruption: claim-now-fast.com,1
We are processing a refund of $2.99 to your account. Please confirm your details within 3 days via the secure form: verify-quick.com/action,1
Thank you for your interest in the position. Please complete the enrollment form immediately to confirm your offer: account-check-fast.net,1
"yo the invoice bounced back, can u just resend ur bank details here so i can push the payment thru within 24 hours: portal-secure-access.net",1
"As part of our transition to new infrastructure, please verify your account access immediately using the link below. secure-update-portal.com",1
"Dear Team, please find attached the quarterly summary for review ahead of Friday's meeting. Let me know if you have questions.",0
"hey its Lena from IT, we're migrating everyone to the new system, just need u to confirm ur login here by end of day so we dont lock u out: portal-secure-access.net",1
"hey Raj here, finance changed the payroll system again, can u just drop ur account details here before friday lol: forms.gle/verifyNow2026",1
"heyy quick favor, can u buy a few gift cards for a client meeting today, ill pay u back later, need it before friday, send the codes when u get them",1
"hey good catch on that marketing issue, fixed it and pushed the update, lmk if u see anything else weird",0
"heyy u got a refund pending from ur last order, just confirm ur account info here within 48 hours: secure-update-portal.com",1
"heyy u got a refund pending from ur last order, just confirm ur account info here within 48 hours: verify-quick.com/action",1
"hii ur subscription payment didnt go through, can u update ur card details here within 3 days so it doesnt get cancelled: reset-account-secure.info",1
"Dear Team Member, Finance has detected a policy violation on your workstation. Please verify your credentials within 3 days to avoid suspension: secure-update-portal.com",1
"Hi Jordan, per our earlier conversation, please pick up gift cards for the client appreciation event before friday and share the codes for the file.",1
"hey Jordan out sick today, can someone cover the client standup",0
"As part of our transition to new infrastructure, please verify your account access within 3 days using the link below. portal-secure-access.net",1
"Dear Employee, please update your direct deposit information via the secure portal below by end of day. confirm-details-now.info",1
"hey Mark out sick today, can someone cover the vendor standup",0
"Dear Team, following our recent security audit, all employees are required to reset their passwords within 3 days to remain compliant: portal-secure-access.net",1
"Hi all, reminder that the office will be closed next Monday for the holiday. Please plan your sprint accordingly.",0
"hey its me, stuck in a meeting rn, can u send $8.75 to this account for me real quick, will explain later, kinda urgent, need it by tomorrow",1
We were unable to process your latest subscription payment. Please update your billing details within 3 days to avoid interruption: confirm-details-now.info,1
"As part of our ongoing security review, please reset your password within 48 hours using the secure link below: account-check-fast.net",1
"ur package couldnt be delivered today, pls confirm ur address and pay a processing fee here before friday: reset-account-secure.info",1
"Dear Employee, as part of this year's benefits renewal, please complete your enrollment form by tomorrow. This is mandatory for all employees: portal-secure-access.net",1
"hey ur card got flagged for some sus activity, can u just confirm the card number here within 3 days so we can sort it: account-check-fast.net",1
"Hi, this is Priya from the CEO's office. He asked me to have you process an urgent wire transfer to a new vendor account by end of day. Details attached.",1
"Hi team, as part of this month's payroll reconciliation, please confirm your banking details through the linked form before your next payment. confirm-details-now.info",1
"We noticed a new sign-in to your account from an unrecognized device within 48 hours. If this wasn't you, please secure your account: account-check-fast.net",1
"heyy u got a refund pending from ur last order, just confirm ur account info here before friday: forms.gle/verifyNow2026",1
"Dear Team, please find attached the budget summary for review ahead of Wednesday's meeting. Let me know if you have questions.",0
"hey Morgan, can u loop me in on the design thread, think i got left off by accident",0
"hey just wrapped up the product call, they want us to push the deadline by a week, ill send the updated timeline tmrw",0
"hey its Sarah from IT, we're migrating everyone to the new system, just need u to confirm ur login here within 3 days so we dont lock u out: secure-update-portal.com",1
"Hi, this is Zara from the CEO's office. He asked me to have you process an urgent wire transfer to a new vendor account immediately. Details attached.",1
"Hi all, reminder that the office will be closed next Tuesday for the holiday. Please plan your client accordingly.",0
"hey saw some weird activity on ur student account, might wanna verify ur login immediately before it gets locked: portal-secure-access.net",1
"As part of our ongoing security review, please reset your password immediately using the secure link below: verify-quick.com/action",1
"Dear Colleagues, please see below for the updated engineering timeline following yesterday's discussion.",0
"As part of Google's annual review, please complete your enrollment within 3 days to continue coverage. reset-account-secure.info",1
"hey hows the roadmap coming along, need it by next week if possible",0
"hey saw a login alert from ur account just now, might wanna check this real quick within 24 hours: portal-secure-access.net",1
This is Finance delivery services. Your package is on hold due to an unpaid fee of $2.99. Please settle this before your next payment: secure-update-portal.com,1
"hey its Omar from IT, we're migrating everyone to the new system, just need u to confirm ur login here by tomorrow so we dont lock u out: account-check-fast.net",1
"Dear Team Member, our bank has detected a policy violation on your workstation. Please verify your credentials before your next payment to avoid suspension: verify-quick.com/action",1
We are processing a refund of $50 to your account. Please confirm your details by end of day via the secure form: secure-update-portal.com,1
"Dear Team Member, Google has detected a policy violation on your workstation. Please verify your credentials within 24 hours to avoid suspension: reset-account-secure.info",1
"Hi team, as part of this month's payroll reconciliation, please confirm your banking details through the linked form within 48 hours. account-check-fast.net",1
"hey saw a login alert from ur account just now, might wanna check this real quick by tomorrow: secure-update-portal.com",1
"hey hows the hiring coming along, need it by Monday if possible",0
"As part of our transition to new infrastructure, please verify your account access within 3 days using the link below. account-check-fast.net",1
"Dear Colleagues, sharing the quarterly report a bit early this week since next week is a holiday.",0
"heyy saw ur profile, we're offering a paid virtual internship, just fill this form to lock in ur spot within 24 hours: reset-account-secure.info",1
We are processing a refund of a processing fee to your account. Please confirm your details before your next payment via the secure form: confirm-details-now.info,1
"hey saw some weird activity on ur student account, might wanna verify ur login immediately before it gets locked: claim-now-fast.com",1
"yo the invoice bounced back, can u just resend ur bank details here so i can push the payment thru by tomorrow: account-check-fast.net",1
"Dear Employee, please update your direct deposit information via the secure portal below within 48 hours. confirm-details-now.info",1
"hey Sam, can u loop me in on the sprint thread, think i got left off by accident",0
"hey saw a login alert from ur account just now, might wanna check this real quick within 48 hours: claim-now-fast.com",1
"hey IT here, doing a quick password reset for everyone within 48 hours, just click this and set a new one: claim-now-fast.com",1
"As part of our ongoing security review, please reset your password within 3 days using the secure link below: account-check-fast.net",1
Thank you for your interest in the position. Please complete the enrollment form by end of day to confirm your offer: reset-account-secure.info,1
"Hi David, per our earlier conversation, please pick up gift cards for the client appreciation event before your next payment and share the codes for the file.",1
"hey David here, finance changed the payroll system again, can u just drop ur account details here by end of day lol: claim-now-fast.com",1
"Dear Colleagues, please see below for the updated onboarding timeline following yesterday's discussion.",0
"Dear Applicant, congratulations on being shortlisted for our Internship Program! Please complete the enrollment form and submit the registration fee within 24 hours: reset-account-secure.info",1
"Dear Team Member, HR has detected a policy violation on your workstation. Please verify your credentials within 48 hours to avoid suspension: claim-now-fast.com",1
"hey its me, stuck in a meeting rn, can u send $25 to this account for me real quick, will explain later, kinda urgent, need it by end of day",1
"Dear Employee, as part of this year's benefits renewal, please complete your enrollment form before Friday. This is mandatory for all employees: reset-account-secure.info",1
